127.0.0.1 - - [10/Jun/2018:14:44:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:44:31 +0530] "GET /frontend/ HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:44:31 +0530] "GET /frontend/yarn4.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:44:46 +0530] "GET /frontend/ HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:44:46 +0530] "GET /frontend/yarn4.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:44:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:44:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:44:57 +0530] "GET /frontend/productdisp HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:45:13 +0530] "GET /frontend/product HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:45:22 +0530] "GET /frontend/singleProd?productid=129 HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:46:35 +0530] "GET /frontend/ HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:46:35 +0530] "GET /frontend/yarn4.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:54:38 +0530] "GET /frontend/product HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:55:53 +0530] "GET /frontend/singleProd?productid=129 HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:56:04 +0530] "POST /frontend/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:56:04 +0530] "GET /frontend/product HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:56:07 +0530] "GET /frontend/singleProd?productid=129 HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:57:58 +0530] "GET /frontend/productdisp HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [10/Jun/2018:16:32:14 +0530] "GET /frontend/product HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [10/Jun/2018:16:58:41 +0530] "GET /frontend/singleProd?productid=130 HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [10/Jun/2018:16:58:47 +0530] "POST /frontend/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:16:58:48 +0530] "GET /frontend/product HTTP/1.1" 200 4144
